"station"	"variable"	"technique"	"periodicity"	"date"	"hour"	"value"	"valid"
"28793812"	8	2	2	2016-07-11	1	33	TRUE
"28793820"	59	2	2	2016-07-11	1	0.7	TRUE
"28793830"	59	2	2	2016-07-11	1	0.1	TRUE
"28793835"	59	2	2	2016-07-11	1	0.1	TRUE
"28793883"	98	2	2	2016-07-11	1	27.9	TRUE
"28793889"	98	2	2	2016-07-11	1	0	TRUE
"28793906"	48	2	2	2016-07-11	1	0.3	TRUE
"28793907"	8	2	2	2016-07-11	1	2	TRUE
"28793908"	8	2	2	2016-07-11	1	57	TRUE
"28793912"	8	2	2	2016-07-11	1	59	TRUE
"28793914"	6	2	2	2016-07-11	1	45	TRUE
"28793989"	98	2	2	2016-07-11	1	0	TRUE
"28794001"	38	2	2	2016-07-11	1	3	TRUE
"28794007"	8	2	2	2016-07-11	1	3	TRUE
"28794008"	8	2	2	2016-07-11	1	42	TRUE
"28794010"	47	2	2	2016-07-11	1	19	TRUE
"28794012"	8	2	2	2016-07-11	1	47	TRUE
"28794089"	98	2	2	2016-07-11	1	0	TRUE
"28794707"	8	2	2	2016-07-11	1	4	TRUE
"28794708"	8	2	2	2016-07-11	1	33	TRUE
"28794709"	47	2	2	2016-07-11	1	12	TRUE
"28794710"	47	2	2	2016-07-11	1	18	TRUE
"28794712"	8	2	2	2016-07-11	1	38	TRUE
"28794807"	8	2	2	2016-07-11	1	1	TRUE
"28794808"	8	2	2	2016-07-11	1	24	TRUE
"28794809"	47	2	2	2016-07-11	1	15	TRUE
"28794810"	47	2	2	2016-07-11	1	21	TRUE
"28794812"	8	2	2	2016-07-11	1	26	TRUE
"28794907"	8	2	2	2016-07-11	1	1	TRUE
"28794908"	8	2	2	2016-07-11	1	30	TRUE
"28794912"	8	2	2	2016-07-11	1	31	TRUE
"28794914"	6	2	2	2016-07-11	1	45	TRUE
"28795007"	8	2	2	2016-07-11	1	3	TRUE
"28795008"	8	2	2	2016-07-11	1	28	TRUE
"28795009"	47	2	2	2016-07-11	1	12	TRUE
"28795010"	47	2	2	2016-07-11	1	20	TRUE
"28795012"	8	2	2	2016-07-11	1	33	TRUE
"28795083"	98	2	2	2016-07-11	1	31	TRUE
"28795407"	8	2	2	2016-07-11	1	5	TRUE
"28795408"	8	2	2	2016-07-11	1	44	TRUE
"28795412"	8	2	2	2016-07-11	1	52	TRUE
"28795414"	6	2	2	2016-07-11	1	65	TRUE
"28795480"	98	2	2	2016-07-11	1	1	TRUE
"28795481"	98	2	2	2016-07-11	1	0.46	TRUE
"28795482"	98	2	2	2016-07-11	1	34	TRUE
"28795483"	98	2	2	2016-07-11	1	33.4	TRUE
"28795489"	98	2	2	2016-07-11	1	0	TRUE
"28795507"	8	2	2	2016-07-11	1	15	TRUE
"28795508"	8	2	2	2016-07-11	1	85	TRUE
"28795510"	47	2	2	2016-07-11	1	28	TRUE
"28795512"	8	2	2	2016-07-11	1	108	TRUE
"28795520"	59	2	2	2016-07-11	1	1.1	TRUE
"28795530"	59	2	2	2016-07-11	1	0.3	TRUE
"28795535"	59	2	2	2016-07-11	1	0.1	TRUE
"28795542"	2	2	2	2016-07-11	1	1.34	TRUE
"28795543"	2	2	2	2016-07-11	1	1.19	TRUE
"28795544"	2	2	2	2016-07-11	1	0.15	TRUE
"28795606"	48	2	2	2016-07-11	1	0.2	TRUE
"28795607"	8	2	2	2016-07-11	1	3	TRUE
"28795608"	8	2	2	2016-07-11	1	46	TRUE
"28795612"	8	2	2	2016-07-11	1	51	TRUE
"28795614"	6	2	2	2016-07-11	1	51	TRUE
"28795681"	98	2	2	2016-07-11	1	0.27	TRUE
"28795682"	98	2	2	2016-07-11	1	333	TRUE
"28795683"	98	2	2	2016-07-11	1	29.8	TRUE
"28795686"	98	2	2	2016-07-11	1	30	TRUE
"28795689"	98	2	2	2016-07-11	1	0	TRUE
"28795701"	38	2	2	2016-07-11	1	6	TRUE
"28795706"	48	2	2	2016-07-11	1	0.2	TRUE
"28795707"	8	2	2	2016-07-11	1	1	TRUE
"28795708"	8	2	2	2016-07-11	1	23	TRUE
"28795710"	47	2	2	2016-07-11	1	44	TRUE
"28795712"	8	2	2	2016-07-11	1	25	TRUE
"28795783"	98	2	2	2016-07-11	1	30.3	TRUE
"28795807"	8	2	2	2016-07-11	1	1	TRUE
"28795808"	8	2	2	2016-07-11	1	15	TRUE
"28795812"	8	2	2	2016-07-11	1	16	TRUE
"28795814"	6	2	2	2016-07-11	1	67	TRUE
"28795907"	8	2	2	2016-07-11	1	1	TRUE
"28795908"	8	2	2	2016-07-11	1	20	TRUE
"28795912"	8	2	2	2016-07-11	1	22	TRUE
"28795914"	6	2	2	2016-07-11	1	79	TRUE
"28795980"	98	2	2	2016-07-11	1	0	TRUE
"28795981"	98	2	2	2016-07-11	1	0.33	TRUE
"28795982"	98	2	2	2016-07-11	1	251	TRUE
"28795983"	98	2	2	2016-07-11	1	28	TRUE
"28795986"	98	2	2	2016-07-11	1	38	TRUE
"28795987"	98	2	2	2016-07-11	1	931	TRUE
"28795988"	98	2	2	2016-07-11	1	23	TRUE
"28795989"	98	2	2	2016-07-11	1	0	TRUE
"28796007"	8	2	2	2016-07-11	1	1	TRUE
"28796008"	8	2	2	2016-07-11	1	30	TRUE
"28796010"	47	2	2	2016-07-11	1	17	TRUE
"28796012"	8	2	2	2016-07-11	1	31	TRUE
"28796014"	6	2	2	2016-07-11	1	71	TRUE
"28796087"	98	2	2	2016-07-11	1	922	TRUE
"28796089"	98	2	2	2016-07-11	1	0	TRUE
"28799901"	38	2	2	2016-07-11	2	5	TRUE
"28799906"	48	2	2	2016-07-11	2	0.2	TRUE
"28799907"	8	2	2	2016-07-11	2	3	TRUE
"28799908"	8	2	2	2016-07-11	2	35	TRUE
"28799909"	47	2	2	2016-07-11	2	10	TRUE
"28799910"	47	2	2	2016-07-11	2	17	TRUE
"28799912"	8	2	2	2016-07-11	2	39	TRUE
"28799914"	6	2	2	2016-07-11	2	50	TRUE
"28799920"	59	2	2	2016-07-11	2	1.9	TRUE
"28799930"	59	2	2	2016-07-11	2	0.3	TRUE
"28799935"	59	2	2	2016-07-11	2	0.2	TRUE
"28799942"	2	2	2	2016-07-11	2	1.31	TRUE
"28799943"	2	2	2	2016-07-11	2	1.19	TRUE
"28799944"	2	2	2	2016-07-11	2	0.12	TRUE
"28799980"	98	2	2	2016-07-11	2	1	TRUE
"28799981"	98	2	2	2016-07-11	2	0.47	TRUE
"28799982"	98	2	2	2016-07-11	2	128	TRUE
"28799983"	98	2	2	2016-07-11	2	28.3	TRUE
"28799986"	98	2	2	2016-07-11	2	39	TRUE
"28799987"	98	2	2	2016-07-11	2	931	TRUE
"28799988"	98	2	2	2016-07-11	2	12	TRUE
"28799989"	98	2	2	2016-07-11	2	0	TRUE
